frame,eye_position1_up_x,eye_position1_up_y,eye_position1_down_x,eye_position1_down_y,eye_position2_up_x,eye_position2_up_y,eye_position2_down_x,eye_position2_down_y,gaze_project_x,gaze_project_y,eye_center_position1_x,eye_center_position1_y,eye_center_position2_x,eye_center_position2_y
Allen_5_11.mp4 0,345,208,367,230,397,212,418,233,-69,6,0,0,0,0
Allen_5_11.mp4 1,347,207,369,229,397,210,420,233,-69,6,0,0,0,0
Allen_5_11.mp4 2,346,207,368,229,394,208,418,232,-69,6,0,0,0,0
Allen_5_11.mp4 3,397,206,421,230,348,204,370,226,-69,6,0,0,0,0
Allen_5_11.mp4 4,396,204,421,229,347,203,369,225,-69,6,0,0,0,0
Allen_5_11.mp4 5,389,202,421,234,346,204,368,226,-69,6,-0.5,-1.5,-1.5,-0.5
Allen_5_11.mp4 6,393,206,417,230,345,204,367,226,-69,6,-0.5,-0.5,-0.5,-0.5
Allen_5_11.mp4 7,393,206,418,231,345,205,367,227,-69,6,0,0,0,0
Allen_5_11.mp4 8,392,208,415,231,342,204,364,226,-69,6,0,0,0,0
Allen_5_11.mp4 9,393,208,417,232,345,206,366,227,-69,6,0,0,0,0
Allen_5_11.mp4 10,0,0,0,0,0,0,0,0,-69,6,0,0,0,0
Allen_5_12.mp4 1,301,188,374,261,387,218,409,240,-63,9,0,0,0,0
Allen_5_12.mp4 2,365,200,418,253,387,219,408,240,-63,9,0,0,0,0
Allen_5_12.mp4 4,386,218,407,239,375,210,415,250,-63,9,0,0,0,0
Allen_5_12.mp4 5,387,217,409,239,363,198,414,249,-63,9,0,0,0,0
Allen_5_12.mp4 6,399,294,468,363,385,217,408,240,-63,9,0,0,0,0
Allen_5_12.mp4 7,406,166,433,193,386,218,407,239,-63,9,0,0,0,0
Allen_5_12.mp4 8,384,216,406,238,362,197,413,248,-63,9,0,0,0,0
Allen_5_12.mp4 9,385,217,408,240,242,296,286,340,-63,9,0,0,0,0
Allen_5_12.mp4 10,306,192,370,256,336,210,358,232,-63,9,0,0,0,0
Allen_5_13.mp4 4,603,456,635,488,374,227,400,253,45,48,-1.5,-0.5,-1.0,-1.0
Allen_5_13.mp4 5,603,457,633,487,421,216,460,255,45,48,-1.5,-0.5,-1.5,-0.5
Allen_5_13.mp4 7,413,215,457,259,364,221,403,260,45,48,-1.0,-1.0,-1.5,-0.5
Allen_5_13.mp4 9,602,456,634,488,368,222,414,268,45,48,-1.5,-1.5,-1.5,-0.5
Allen_5_13.mp4 10,601,456,635,490,418,223,457,262,45,48,-0.5,-1.5,-1.5,-0.5
Allen_5_14.mp4 0,606,456,632,482,359,226,397,264,21,39,-1.5,-0.5,-0.5,-0.5
Allen_5_14.mp4 1,606,456,634,484,69,218,95,244,21,39,-1.0,-1.0,-0.5,-0.5
Allen_5_14.mp4 2,605,456,633,484,418,227,453,262,21,39,-1.0,-1.0,-1.0,-1.0
Allen_5_14.mp4 3,604,455,634,485,420,226,455,261,21,39,-1.0,-1.0,-1.0,-1.0
Allen_5_14.mp4 5,421,224,453,256,360,230,391,261,21,39,-1.0,-1.0,-1.0,-1.0
Allen_5_14.mp4 6,606,456,633,483,357,226,391,260,21,39,-1.0,-1.0,-0.5,-0.5
Allen_5_14.mp4 7,358,230,388,260,409,220,451,262,21,39,-1.0,-1.0,-1.0,-1.0
Allen_5_14.mp4 8,358,230,388,260,405,217,452,264,21,39,-1.0,-1.0,-1.0,-1.0
Allen_5_14.mp4 9,417,224,449,256,358,232,386,260,21,39,-0.5,-0.5,-1.0,-1.0
Allen_5_14.mp4 10,606,458,629,481,412,224,450,262,21,39,-0.5,-0.5,-1.0,-1.0
Allen_5_15.mp4 1,604,456,634,486,343,227,373,257,-63,40,-1.0,-1.0,-1.0,-1.0
Allen_5_15.mp4 3,343,226,373,256,385,215,436,266,-63,40,-1.0,-1.0,-0.5,-1.5
Allen_5_15.mp4 4,603,455,633,485,342,223,378,259,-63,40,-0.5,-0.5,-0.5,-0.5
Allen_5_15.mp4 5,342,225,372,255,389,219,434,264,-63,40,-0.5,-0.5,-0.5,-0.5
Allen_5_15.mp4 6,604,455,632,483,342,227,366,251,-63,40,-1.0,-1.0,-0.5,-1.5
Allen_5_15.mp4 7,341,226,370,255,384,221,429,266,-63,40,-1.0,-1.0,-0.5,-0.5
Allen_5_15.mp4 8,342,229,368,255,385,220,431,266,-63,40,-0.5,-0.5,-0.5,-0.5
Allen_5_15.mp4 9,604,455,634,485,340,225,374,259,-63,40,-1.0,-1.0,-1.0,-1.0
Allen_5_15.mp4 10,0,0,0,0,0,0,0,0,-63,40,0,0,0,0
Allen_5_16.mp4 1,370,237,416,283,303,234,345,276,-37,30,0,0,0,0
Allen_5_16.mp4 2,245,300,283,338,334,240,359,265,-37,30,0,0,0,0
Allen_5_16.mp4 3,335,233,362,260,371,229,420,278,-37,30,-1.0,-1.0,-1.0,-1.0
Allen_5_16.mp4 4,332,232,361,261,372,230,417,275,-37,30,-0.5,-1.5,-1.0,-1.0
Allen_5_16.mp4 5,333,232,358,257,366,225,414,273,-37,30,-1.0,-1.0,-1.0,-1.0
Allen_5_16.mp4 6,367,228,413,274,298,220,345,267,-37,30,-1.0,-1.0,-0.5,-0.5
Allen_5_16.mp4 7,330,235,355,260,364,228,413,277,-37,30,-0.5,-0.5,-1.5,-0.5
Allen_5_16.mp4 8,331,235,355,259,362,221,414,273,-37,30,-0.5,-0.5,-1.0,-1.0
Allen_5_16.mp4 9,332,236,357,261,362,226,411,275,-37,30,-0.5,-0.5,-0.5,-1.5
Allen_5_16.mp4 10,0,0,0,0,0,0,0,0,-37,30,0,0,0,0
Allen_5_17.mp4 0,358,222,402,266,292,204,391,303,-65,15,0,0,0,0
Allen_5_17.mp4 1,354,220,402,268,242,298,286,342,-65,15,0,0,0,0
Allen_5_17.mp4 4,348,210,401,263,292,212,340,260,-65,15,0,0,0,0
Allen_5_17.mp4 6,244,298,287,341,348,213,395,260,-65,15,0,0,0,0
Allen_5_17.mp4 7,350,214,397,261,288,209,347,268,-65,15,0,0,0,0
Allen_5_17.mp4 8,346,213,394,261,289,209,345,265,-65,15,0,0,0,0
Allen_5_17.mp4 9,345,215,394,264,288,208,348,268,-65,15,0,0,0,0
Allen_5_17.mp4 10,342,211,397,266,288,206,360,278,-65,15,0,0,0,0
Allen_5_18.mp4 1,274,177,393,296,290,205,350,265,-101,30,0,0,0,0
Allen_5_18.mp4 2,346,214,394,262,289,207,348,266,-101,30,0,0,0,0
Allen_5_18.mp4 4,289,206,345,262,345,211,396,262,-101,30,0,0,0,0
Allen_5_18.mp4 5,289,204,347,262,360,222,382,244,-101,30,0,0,0,0
Allen_5_18.mp4 6,288,202,347,261,343,211,391,259,-101,30,0,0,0,0
Allen_5_18.mp4 7,249,301,285,337,341,210,388,257,-101,30,0,0,0,0
Allen_5_18.mp4 8,286,204,343,261,344,215,388,259,-101,30,0,0,0,0
Allen_5_18.mp4 10,0,0,0,0,0,0,0,0,-101,30,0,0,0,0
Allen_5_2.mp4 1,412,187,449,224,356,190,391,225,-66,23,-1.0,-1.0,-1.5,-0.5
Allen_5_2.mp4 2,415,183,453,221,360,190,391,221,-66,23,-1.0,-1.0,-1.0,-1.0
Allen_5_2.mp4 3,358,188,391,221,418,184,453,219,-66,23,-1.0,-1.0,-1.0,-1.0
Allen_5_2.mp4 4,356,188,389,221,411,182,451,222,-66,23,-1.5,-0.5,-0.5,-0.5
Allen_5_2.mp4 5,352,187,386,221,408,182,447,221,-66,23,-1.5,-0.5,-1.5,-1.5
Allen_5_2.mp4 6,349,186,385,222,410,186,443,219,-66,23,-0.5,-0.5,-1.5,-0.5
Allen_5_2.mp4 7,346,187,385,226,395,181,442,228,-66,23,-1.0,-1.0,-0.5,-0.5
Allen_5_3.mp4 0,356,188,390,222,409,182,450,223,-104,20,-1.5,2.5,-0.5,-0.5
Allen_5_3.mp4 1,356,189,385,218,411,184,447,220,-104,20,-0.5,-0.5,-1.5,-0.5
Allen_5_3.mp4 2,356,187,385,216,412,184,446,218,-104,20,-1.5,-0.5,-1.0,-1.0
Allen_5_3.mp4 3,355,185,385,215,398,173,449,224,-104,20,-0.5,-0.5,-0.5,-0.5
Allen_5_3.mp4 4,355,185,385,215,408,182,443,217,-104,20,-0.5,-0.5,-1.0,-1.0
Allen_5_3.mp4 5,354,187,381,214,405,183,440,218,-104,20,-1.0,-1.0,-0.5,-0.5
Allen_5_3.mp4 6,352,190,377,215,402,183,440,221,-104,20,-1.0,-1.0,-1.0,-1.0
Allen_5_3.mp4 7,351,192,378,219,401,188,435,222,-104,20,-0.5,-0.5,-1.0,-1.0
Allen_5_3.mp4 8,351,194,376,219,396,187,435,226,-104,20,-0.5,-0.5,-1.0,-1.0
Allen_5_4.mp4 0,396,194,425,223,345,196,368,219,-73,4,-2.0,6.0,1.5,0.5
Allen_5_4.mp4 1,344,194,368,218,391,191,424,224,-73,4,-0.5,-0.5,-1.0,-1.0
Allen_5_4.mp4 2,345,192,368,215,393,188,427,222,-73,4,-0.5,-0.5,-1.5,-0.5
Allen_5_4.mp4 3,344,191,368,215,395,191,423,219,-73,4,-1.0,-1.0,-0.5,-0.5
Allen_5_4.mp4 4,344,191,367,214,394,192,422,220,-73,4,-1.0,-1.0,-1.0,-1.0
Allen_5_4.mp4 5,342,190,366,214,393,191,420,218,-73,4,-0.5,-0.5,-1.0,-1.0
Allen_5_4.mp4 6,342,192,364,214,391,190,419,218,-73,4,-1.0,-1.0,-1.0,-1.0
Allen_5_4.mp4 7,393,191,421,219,374,179,423,228,-73,4,-0.5,-0.5,-0.5,-0.5
Allen_5_4.mp4 8,341,192,364,215,387,187,422,222,-73,4,-0.5,-0.5,-1.5,-0.5
Allen_5_4.mp4 9,340,193,366,219,385,191,418,224,-73,4,-1.0,-1.0,-1.5,-0.5
Allen_5_5.mp4 0,342,184,390,232,242,300,283,341,-84,1,0,0,0,0
Allen_5_5.mp4 1,366,199,389,222,324,244,382,302,-84,1,0,0,0,0
Allen_5_5.mp4 2,346,184,393,231,324,246,374,296,-84,1,0,0,0,0
Allen_5_5.mp4 3,347,185,392,230,322,246,375,299,-84,1,0,0,0,0
Allen_5_5.mp4 5,362,194,386,218,345,183,393,231,-84,1,0,0,0,0
Allen_5_5.mp4 8,340,182,392,234,357,196,379,218,-84,1,0,0,0,0
Allen_5_5.mp4 9,345,190,391,236,359,197,382,220,-84,1,0,0,0,0
Allen_5_5.mp4 10,342,184,392,234,358,197,381,220,-84,1,0,0,0,0
Allen_5_5.mp4 11,341,185,388,232,359,197,382,220,-84,1,0,0,0,0
Allen_5_6.mp4 1,369,187,410,228,361,177,420,236,-82,0,0,0,0,0
Allen_5_6.mp4 2,380,195,402,217,339,245,388,294,-82,0,0,0,0,0
Allen_5_6.mp4 3,303,177,366,240,614,444,702,532,-82,0,0,0,0,0
Allen_5_6.mp4 4,295,164,389,258,339,243,392,296,-82,0,0,0,0,0
Allen_5_6.mp4 5,378,195,401,218,359,178,413,232,-82,0,0,0,0,0
Allen_5_7.mp4 1,448,204,480,236,390,209,420,239,76,24,-1.0,-1.0,-1.0,-1.0
Allen_5_7.mp4 2,448,202,482,236,394,208,422,236,76,24,-0.5,-1.5,-1.0,-1.0
Allen_5_7.mp4 3,610,458,634,482,446,202,480,236,76,24,-1.0,-1.0,-0.5,-1.5
Allen_5_7.mp4 4,449,202,481,234,391,205,424,238,76,24,-0.5,-1.5,-1.0,-1.0
Allen_5_7.mp4 5,446,201,480,235,390,208,420,238,76,24,-1.0,-1.0,-1.0,-1.0
Allen_5_7.mp4 6,388,206,421,239,444,202,479,237,76,24,-1.0,-1.0,-1.0,-1.0
Allen_5_7.mp4 7,444,202,476,234,388,207,417,236,76,24,-1.0,-1.0,-1.0,-1.0
Allen_5_7.mp4 8,443,204,476,237,387,208,418,239,76,24,-1.5,-1.5,-1.0,-1.0
Allen_5_7.mp4 9,449,208,475,234,389,210,417,238,76,24,-1.0,-1.0,-1.0,-1.0
Allen_5_7.mp4 10,443,204,476,237,388,207,420,239,76,24,-1.5,-1.5,-0.5,-1.5
Allen_5_8.mp4 0,367,212,395,240,426,204,466,244,17,24,-0.5,-0.5,0.0,-1.0
Allen_5_8.mp4 1,423,204,462,243,243,294,288,339,17,24,-1.5,-1.5,-0.5,-0.5
Allen_5_8.mp4 2,374,212,401,239,420,200,468,248,17,24,-1.0,-1.0,-1.0,-1.0
Allen_5_8.mp4 3,431,208,467,244,372,211,403,242,17,24,-0.5,-0.5,-1.0,-1.0
Allen_5_8.mp4 4,374,213,402,241,428,207,467,246,17,24,-1.0,-1.0,-1.0,-1.0
Allen_5_8.mp4 5,609,456,634,481,368,209,400,241,17,24,-0.5,-0.5,-1.0,-1.0
Allen_5_8.mp4 6,367,208,399,240,419,202,459,242,17,24,-1.5,-1.5,-0.5,-1.5
Allen_5_8.mp4 7,363,208,394,239,416,202,457,243,17,24,-1.5,-0.5,-0.5,-0.5
Allen_5_8.mp4 8,360,208,394,242,412,201,456,245,17,24,-1.5,-1.5,-1.0,-1.0
Allen_5_8.mp4 9,416,203,457,244,363,210,394,241,17,24,-1.0,-1.0,-0.5,-1.5
Allen_5_9.mp4 0,416,211,441,236,355,212,383,240,-52,30,-1.0,0.0,-0.5,-0.5
Allen_5_9.mp4 1,356,211,384,239,406,204,446,244,-52,30,-0.5,-1.5,-1.5,-0.5
Allen_5_9.mp4 2,354,209,384,239,402,199,447,244,-52,30,-1.0,-1.0,-0.5,-1.5
Allen_5_9.mp4 3,354,208,384,238,405,202,445,242,-52,30,-0.5,-1.5,-0.5,-0.5
Allen_5_9.mp4 4,354,208,384,238,404,200,448,244,-52,30,-1.0,-1.0,-1.0,-1.0
Allen_5_9.mp4 5,355,210,381,236,408,202,446,240,-52,30,-0.5,-1.5,-0.5,-1.5
Allen_5_9.mp4 6,353,207,384,238,407,203,445,241,-52,30,-1.0,-1.0,-1.0,-1.0
Allen_5_9.mp4 7,353,208,382,237,407,202,446,241,-52,30,-1.5,-1.5,-0.5,-1.5
Allen_5_9.mp4 8,354,210,381,237,398,197,446,245,-52,30,-0.5,-0.5,-0.5,-1.5
Allen_5_9.mp4 9,354,210,383,239,401,201,447,247,-52,30,-1.5,-1.5,-1.0,-1.0
Allen_5_9.mp4 10,355,210,383,238,406,203,446,243,-52,30,-0.5,-1.5,-0.5,-1.5
Anson_5_1.mp4 0,399,215,450,266,431,145,475,189,47,33,-1.5,-1.5,-1.0,-1.0
Anson_5_1.mp4 1,398,215,448,265,429,145,471,187,47,33,-1.0,-1.0,-1.0,-1.0
Anson_5_1.mp4 2,400,213,452,265,366,147,411,192,47,33,-1.0,-1.0,-1.0,-1.0
Anson_5_1.mp4 3,433,143,476,186,367,144,414,191,47,33,-1.5,-0.5,-1.0,-1.0
Anson_5_1.mp4 4,430,141,474,185,365,143,412,190,47,33,-1.0,-1.0,-1.5,-0.5
Anson_5_1.mp4 5,397,212,447,262,429,140,473,184,47,33,-1.0,-1.0,-1.0,-1.0
Anson_5_1.mp4 6,425,140,470,185,360,142,406,188,47,33,-1.5,-0.5,-1.0,-1.0
Anson_5_1.mp4 7,418,137,464,183,354,141,399,186,47,33,-1.5,-0.5,-1.0,-1.0
Anson_5_1.mp4 8,420,140,464,184,353,141,402,190,47,33,-1.0,-1.0,-1.5,-0.5
Anson_5_1.mp4 9,420,140,465,185,353,141,401,189,47,33,-1.5,-1.5,-1.0,-1.0
Anson_5_1.mp4 10,0,0,0,0,0,0,0,0,47,33,0,0,0,0
Anson_5_10.mp4 0,308,159,348,199,361,158,407,204,-91,37,-0.5,-1.5,-1.0,-1.0
Anson_5_10.mp4 1,309,158,349,198,363,159,408,204,-91,37,-0.5,-1.5,-1.0,-1.0
Anson_5_10.mp4 2,310,159,348,197,366,161,408,203,-91,37,-0.5,-0.5,-1.5,-1.5
Anson_5_10.mp4 3,316,156,357,197,375,158,419,202,-91,37,-1.0,-1.0,-1.5,-1.5
Anson_5_10.mp4 4,374,156,420,202,318,155,358,195,-91,37,-1.0,-1.0,-0.5,-1.5
Anson_5_10.mp4 5,372,155,416,199,296,234,337,275,-91,37,-1.0,-1.0,-1.0,-1.0
Anson_5_10.mp4 6,369,153,416,200,314,152,354,192,-91,37,-0.5,-1.5,-1.5,-1.5
Anson_5_10.mp4 7,365,153,412,200,311,154,350,193,-91,37,-0.5,-1.5,-1.5,-0.5
Anson_5_10.mp4 8,363,154,409,200,312,156,349,193,-91,37,-1.0,-1.0,-1.5,-0.5
Anson_5_10.mp4 9,363,155,409,201,310,155,350,195,-91,37,-1.5,-1.5,-1.5,-0.5
Anson_5_11.mp4 0,310,147,343,180,352,149,395,192,-72,2,-0.5,-1.5,-0.5,-0.5
Anson_5_11.mp4 1,342,166,380,204,302,158,334,190,-72,2,-1.0,-1.0,-1.5,-0.5
Anson_5_11.mp4 2,307,172,339,204,351,189,384,222,-72,2,0,0,0,0
Anson_5_11.mp4 3,376,175,410,209,325,154,362,191,-72,2,-1.5,-1.5,-1.5,-0.5
Anson_5_11.mp4 4,372,165,406,199,323,148,359,184,-72,2,-1.5,-1.5,-1.0,-1.0
Anson_5_11.mp4 5,370,162,406,198,452,188,476,212,-72,2,-1.0,-1.0,-1.0,-1.0
Anson_5_11.mp4 6,373,161,409,197,325,147,360,182,-72,2,-1.0,-1.0,-1.0,-1.0
Anson_5_11.mp4 7,373,161,410,198,326,149,360,183,-72,2,-1.0,-1.0,-0.5,-0.5
Anson_5_11.mp4 8,371,160,409,198,326,147,363,184,-72,2,-1.5,-0.5,-1.0,-1.0
Anson_5_11.mp4 9,372,166,407,201,326,154,359,187,-72,2,-1.0,-1.0,-1.5,-0.5
Anson_5_12.mp4 0,349,161,387,199,313,154,341,182,-83,-1,-1.5,-0.5,-1.0,-1.0
Anson_5_12.mp4 1,349,160,389,200,316,156,342,182,-83,-1,-1.0,-1.0,-1.5,-0.5
Anson_5_12.mp4 2,357,166,386,195,328,141,397,210,-83,-1,-1.0,-1.0,-1.0,-1.0
Anson_5_12.mp4 3,360,165,391,196,316,153,346,183,-83,-1,-1.5,-0.5,-1.0,-1.0
Anson_5_12.mp4 4,354,160,392,198,315,152,346,183,-83,-1,-1.0,-1.0,-1.0,-1.0
Anson_5_12.mp4 5,353,158,391,196,315,152,345,182,-83,-1,-1.0,-1.0,-1.0,-1.0
Anson_5_12.mp4 6,350,156,391,197,315,151,343,179,-83,-1,-1.0,-1.0,-1.5,-0.5
Anson_5_12.mp4 7,350,157,389,196,313,152,342,181,-83,-1,0,0,0,0
Anson_5_12.mp4 8,354,159,391,196,315,151,348,184,-83,-1,-1.0,-1.0,-1.5,-0.5
Anson_5_12.mp4 9,350,160,388,198,317,156,342,181,-83,-1,-1.0,-1.0,-1.0,-1.0
Anson_5_13.mp4 0,461,176,503,218,398,179,440,221,50,57,-1.0,-1.0,-1.0,-1.0
Anson_5_13.mp4 1,457,177,499,219,395,182,437,224,50,57,-1.5,-0.5,-1.0,-1.0
Anson_5_13.mp4 2,462,178,503,219,401,184,441,224,50,57,-0.5,-0.5,-1.0,-1.0
Anson_5_13.mp4 3,465,177,504,216,400,180,445,225,50,57,-1.0,-1.0,-1.0,-1.0
Anson_5_13.mp4 4,464,172,507,215,401,176,447,222,50,57,-1.0,-1.0,-1.0,-1.0
Anson_5_13.mp4 5,460,160,502,202,396,162,441,207,50,57,-1.5,-1.5,-1.0,-1.0
Anson_5_13.mp4 6,452,161,497,206,386,165,431,210,50,57,-1.5,-1.5,-1.0,-1.0
Anson_5_13.mp4 7,377,169,422,214,442,162,489,209,50,57,-0.5,-1.5,-1.0,-1.0
Anson_5_13.mp4 8,442,165,488,211,374,168,423,217,50,57,-1.0,-1.0,-0.5,-1.5
Anson_5_14.mp4 0,336,186,384,234,401,185,449,233,-27,66,-1.5,-0.5,-1.0,-1.0
Anson_5_14.mp4 1,406,191,454,239,347,198,387,238,-27,66,-1.5,-0.5,-1.5,-1.5
Anson_5_14.mp4 2,401,187,451,237,339,190,389,240,-27,66,-0.5,-1.5,-1.0,-1.0
Anson_5_14.mp4 3,408,184,458,234,348,191,391,234,-27,66,-0.5,-1.5,-1.5,-1.5
Anson_5_14.mp4 4,407,181,457,231,346,187,392,233,-27,66,-1.0,-1.0,-1.0,-1.0
Anson_5_14.mp4 5,407,176,455,224,344,180,389,225,-27,66,-0.5,-0.5,-1.0,-1.0
Anson_5_14.mp4 6,408,176,457,225,345,181,390,226,-27,66,-1.0,-1.0,-1.0,-1.0
Anson_5_14.mp4 7,344,182,386,224,407,179,453,225,-27,66,-0.5,-0.5,-1.5,-1.5
Anson_5_14.mp4 8,407,179,453,225,343,182,386,225,-27,66,-0.5,-0.5,-1.5,-1.5
Anson_5_14.mp4 9,345,183,390,228,405,179,455,229,-27,66,-1.0,-1.0,-1.0,-1.0
Anson_5_14.mp4 10,406,180,455,229,344,184,389,229,-27,66,-1.5,-1.5,-1.5,-0.5
Anson_5_15.mp4 0,327,184,368,225,382,182,432,232,-61,62,-1.0,-1.0,-1.0,-1.0
Anson_5_15.mp4 1,327,184,367,224,385,181,435,231,-61,62,-1.0,-1.0,-1.5,-1.5
Anson_5_15.mp4 2,326,184,366,224,384,180,434,230,-61,62,-1.0,-1.0,-1.5,-1.5
Anson_5_15.mp4 3,328,181,371,224,385,179,436,230,-61,62,-1.0,-1.0,-1.0,-1.0
Anson_5_15.mp4 4,328,181,369,222,387,180,434,227,-61,62,-1.0,-1.0,-1.0,-1.0
Anson_5_15.mp4 5,328,181,367,220,385,178,433,226,-61,62,-1.0,-1.0,-1.0,-1.0
Anson_5_15.mp4 6,387,180,432,225,329,181,368,220,-61,62,-1.0,-1.0,-1.0,-1.0
Anson_5_15.mp4 7,385,179,431,225,326,180,367,221,-61,62,-0.5,-1.5,-1.0,-1.0
Anson_5_15.mp4 8,355,192,377,214,326,179,368,221,-61,62,-0.5,-1.5,-1.0,-1.0
Anson_5_15.mp4 9,326,179,369,222,384,178,433,227,-61,62,-0.5,-0.5,-1.0,-1.0
Anson_5_16.mp4 0,334,175,371,212,391,188,428,225,-104,47,-1.5,-0.5,-1.5,-0.5
Anson_5_16.mp4 1,338,175,376,213,394,185,433,224,-104,47,-1.5,-1.5,-1.0,-1.0
Anson_5_16.mp4 2,334,175,371,212,387,183,429,225,-104,47,-1.0,-1.0,-1.5,-0.5
Anson_5_16.mp4 3,341,169,381,209,394,175,446,227,-104,47,-1.0,-1.0,-1.0,-1.0
Anson_5_16.mp4 4,348,165,389,206,407,177,451,221,-104,47,-0.5,-1.5,-1.0,-1.0
Anson_5_16.mp4 5,347,165,388,206,402,172,453,223,-104,47,-0.5,-1.5,-1.0,-1.0
Anson_5_16.mp4 6,349,164,391,206,406,176,449,219,-104,47,-1.0,-1.0,-1.5,-0.5
Anson_5_16.mp4 7,314,165,345,196,353,162,399,208,-104,47,0,0,0,0
Anson_5_16.mp4 8,313,167,345,199,354,166,398,210,-104,47,-1.5,-1.5,-1.5,-1.5
Anson_5_16.mp4 9,319,184,350,215,360,183,409,232,-104,47,0,0,0,0
Anson_5_17.mp4 0,302,177,326,201,448,186,469,207,-76,9,-1.5,-0.5,-1.5,-1.5
Anson_5_17.mp4 1,304,177,329,202,335,175,377,217,-76,9,-1.5,-1.5,-1.0,-1.0
Anson_5_17.mp4 2,304,175,329,200,334,173,379,218,-76,9,-1.5,-0.5,-0.5,-1.5
Anson_5_17.mp4 3,306,176,329,199,336,171,385,220,-76,9,-1.0,-1.0,-1.0,-1.0
Anson_5_17.mp4 4,305,173,333,201,342,175,382,215,-76,9,-0.5,-0.5,-1.5,-0.5
Anson_5_17.mp4 5,305,171,332,198,337,171,381,215,-76,9,-1.5,-0.5,-1.0,-1.0
Anson_5_17.mp4 6,305,172,331,198,336,170,380,214,-76,9,-1.0,-1.0,-1.0,-1.0
Anson_5_17.mp4 7,302,170,331,199,334,170,376,212,-76,9,-1.0,-1.0,-1.5,-0.5
Anson_5_17.mp4 8,302,170,330,198,333,169,378,214,-76,9,-1.5,-0.5,-1.5,-0.5
Anson_5_17.mp4 9,303,174,329,200,333,170,379,216,-76,9,-1.0,-1.0,-1.0,-1.0
Anson_5_18.mp4 0,298,170,324,196,329,168,371,210,-84,17,0,0,0,0
Anson_5_18.mp4 1,301,171,328,198,331,167,376,212,-84,17,-0.5,-0.5,-1.5,-1.5
Anson_5_18.mp4 2,301,169,329,197,332,167,375,210,-84,17,-1.0,-1.0,-1.5,-1.5
Anson_5_18.mp4 3,306,169,331,194,332,164,381,213,-84,17,0,0,0,0
Anson_5_18.mp4 4,302,167,329,194,335,166,377,208,-84,17,-1.0,-1.0,-1.0,-1.0
Anson_5_18.mp4 5,336,156,381,201,302,157,333,188,-84,17,-1.0,-1.0,-1.0,-1.0
Anson_5_18.mp4 6,336,158,379,201,302,157,333,188,-84,17,-1.0,-1.0,-1.5,-0.5
Anson_5_18.mp4 7,331,159,374,202,298,157,334,193,-84,17,-1.5,-0.5,-0.5,-0.5
Anson_5_18.mp4 8,343,169,370,196,314,144,383,213,-84,17,-0.5,-0.5,-1.0,-1.0
Anson_5_18.mp4 9,297,175,324,202,320,166,375,221,-84,17,-0.5,-0.5,-1.5,-0.5
Anson_5_2.mp4 0,397,139,444,186,333,142,380,189,-39,39,-1.5,-0.5,-0.5,-0.5
