frame,label,eye_position1_up_x,eye_position1_up_y,eye_position1_down_x,eye_position1_down_y,eye_position2_up_x,eye_position2_up_y,eye_position2_down_x,eye_position2_down_y,gaze_project_x,gaze_project_y,head_pitch,head_yaw,head_roll,eye_center_position1_x,eye_center_position1_y,eye_center_position2_x,eye_center_position2_y
Allen_5_5.mp4 9,5,345,190,391,236,359,197,382,220,-84,1,177.42428718897736,51.87997735048062,177.42186845990884,0,0,0,0
Allen_5_5.mp4 10,5,342,184,392,234,358,197,381,220,-84,1,177.42428718897736,51.87997735048062,177.42186845990884,0,0,0,0
Allen_5_5.mp4 11,5,341,185,388,232,359,197,382,220,-84,1,177.42428718897736,51.87997735048062,177.42186845990884,0,0,0,0
Allen_5_6.mp4 1,6,369,187,410,228,361,177,420,236,-82,0,172.77623684797962,50.328697432877284,172.0433181739534,0,0,0,0
Allen_5_6.mp4 2,6,380,195,402,217,339,245,388,294,-82,0,172.77623684797962,50.328697432877284,172.0433181739534,0,0,0,0
Allen_5_6.mp4 3,6,614,444,702,532,303,177,366,240,-82,0,172.77623684797962,50.328697432877284,172.0433181739534,0,0,0,0
Allen_5_6.mp4 4,6,295,164,389,258,339,243,392,296,-82,0,172.77623684797962,50.328697432877284,172.0433181739534,0,0,0,0
Allen_5_6.mp4 5,6,378,195,401,218,359,178,413,232,-82,0,172.77623684797962,50.328697432877284,172.0433181739534,0,0,0,0
Allen_5_7.mp4 1,7,448,204,480,236,390,209,420,239,76,24,-166.06547713023076,-22.221718767448298,-6.034274466573741,-1.0,-1.0,-1.0,-1.0
Allen_5_7.mp4 2,7,448,202,482,236,394,208,422,236,76,24,-166.06547713023076,-22.221718767448298,-6.034274466573741,-0.5,-1.5,-1.0,-1.0
Allen_5_7.mp4 3,7,610,458,634,482,446,202,480,236,76,24,-166.06547713023076,-22.221718767448298,-6.034274466573741,-1.0,-1.0,-0.5,-1.5
Allen_5_7.mp4 4,7,449,202,481,234,391,205,424,238,76,24,-166.06547713023076,-22.221718767448298,-6.034274466573741,-0.5,-1.5,-1.0,-1.0
Allen_5_7.mp4 5,7,446,201,480,235,390,208,420,238,76,24,-166.06547713023076,-22.221718767448298,-6.034274466573741,-1.0,-1.0,-1.0,-1.0
Allen_5_7.mp4 6,7,388,206,421,239,444,202,479,237,76,24,-166.06547713023076,-22.221718767448298,-6.034274466573741,-1.0,-1.0,-1.0,-1.0
Allen_5_7.mp4 7,7,444,202,476,234,388,207,417,236,76,24,-166.06547713023076,-22.221718767448298,-6.034274466573741,-1.0,-1.0,-1.0,-1.0
Allen_5_7.mp4 8,7,443,204,476,237,387,208,418,239,76,24,-166.06547713023076,-22.221718767448298,-6.034274466573741,-1.5,-1.5,-1.0,-1.0
Allen_5_7.mp4 9,7,449,208,475,234,389,210,417,238,76,24,-166.06547713023076,-22.221718767448298,-6.034274466573741,-1.0,-1.0,-1.0,-1.0
Allen_5_7.mp4 10,7,443,204,476,237,388,207,420,239,76,24,-166.06547713023076,-22.221718767448298,-6.034274466573741,-1.5,-1.5,-0.5,-1.5
Allen_5_8.mp4 0,8,367,212,395,240,426,204,466,244,17,24,-168.5519461600328,-4.252697871015025,-2.2784655228946544,-0.5,-0.5,0.0,-1.0
Allen_5_8.mp4 1,8,423,204,462,243,243,294,288,339,17,24,-168.5519461600328,-4.252697871015025,-2.2784655228946544,-1.5,-1.5,-0.5,-0.5
Allen_5_8.mp4 2,8,374,212,401,239,420,200,468,248,17,24,-168.5519461600328,-4.252697871015025,-2.2784655228946544,-1.0,-1.0,-1.0,-1.0
Allen_5_8.mp4 3,8,431,208,467,244,372,211,403,242,17,24,-168.5519461600328,-4.252697871015025,-2.2784655228946544,-0.5,-0.5,-1.0,-1.0
Allen_5_8.mp4 4,8,374,213,402,241,428,207,467,246,17,24,-168.5519461600328,-4.252697871015025,-2.2784655228946544,-1.0,-1.0,-1.0,-1.0
Allen_5_8.mp4 5,8,609,456,634,481,368,209,400,241,17,24,-168.5519461600328,-4.252697871015025,-2.2784655228946544,-0.5,-0.5,-1.0,-1.0
Allen_5_8.mp4 6,8,367,208,399,240,419,202,459,242,17,24,-168.5519461600328,-4.252697871015025,-2.2784655228946544,-1.5,-1.5,-0.5,-1.5
Allen_5_8.mp4 7,8,363,208,394,239,416,202,457,243,17,24,-168.5519461600328,-4.252697871015025,-2.2784655228946544,-1.5,-0.5,-0.5,-0.5
Allen_5_8.mp4 8,8,360,208,394,242,412,201,456,245,17,24,-168.5519461600328,-4.252697871015025,-2.2784655228946544,-1.5,-1.5,-1.0,-1.0
Allen_5_8.mp4 9,8,416,203,457,244,363,210,394,241,17,24,-168.5519461600328,-4.252697871015025,-2.2784655228946544,-1.0,-1.0,-0.5,-1.5
Allen_5_9.mp4 0,9,416,211,441,236,355,212,383,240,-52,30,-166.71327978562275,17.146261349542215,-0.3228001132758182,-1.0,0.0,-0.5,-0.5
Allen_5_9.mp4 1,9,356,211,384,239,406,204,446,244,-52,30,-166.71327978562275,17.146261349542215,-0.3228001132758182,-0.5,-1.5,-1.5,-0.5
Allen_5_9.mp4 2,9,354,209,384,239,402,199,447,244,-52,30,-166.71327978562275,17.146261349542215,-0.3228001132758182,-1.0,-1.0,-0.5,-1.5
Allen_5_9.mp4 3,9,354,208,384,238,405,202,445,242,-52,30,-166.71327978562275,17.146261349542215,-0.3228001132758182,-0.5,-1.5,-0.5,-0.5
Allen_5_9.mp4 4,9,354,208,384,238,404,200,448,244,-52,30,-166.71327978562275,17.146261349542215,-0.3228001132758182,-1.0,-1.0,-1.0,-1.0
Allen_5_9.mp4 5,9,355,210,381,236,408,202,446,240,-52,30,-166.71327978562275,17.146261349542215,-0.3228001132758182,-0.5,-1.5,-0.5,-1.5
Allen_5_9.mp4 6,9,353,207,384,238,407,203,445,241,-52,30,-166.71327978562275,17.146261349542215,-0.3228001132758182,-1.0,-1.0,-1.0,-1.0
Allen_5_9.mp4 7,9,353,208,382,237,407,202,446,241,-52,30,-166.71327978562275,17.146261349542215,-0.3228001132758182,-1.5,-1.5,-0.5,-1.5
Allen_5_9.mp4 8,9,354,210,381,237,398,197,446,245,-52,30,-166.71327978562275,17.146261349542215,-0.3228001132758182,-0.5,-0.5,-0.5,-1.5
Allen_5_9.mp4 9,9,354,210,383,239,401,201,447,247,-52,30,-166.71327978562275,17.146261349542215,-0.3228001132758182,-1.5,-1.5,-1.0,-1.0
Allen_5_9.mp4 10,9,355,210,383,238,406,203,446,243,-52,30,-166.71327978562275,17.146261349542215,-0.3228001132758182,-0.5,-1.5,-0.5,-1.5
Allen_5_10.mp4 1,10,393,206,425,238,342,210,368,236,-93,33,-165.04393156624025,30.142726371831646,2.011862758005999,-1.5,-0.5,-0.5,-0.5
Allen_5_10.mp4 2,10,342,210,368,236,379,196,429,246,-93,33,-165.04393156624025,30.142726371831646,2.011862758005999,-0.5,-0.5,-1.0,-1.0
Allen_5_10.mp4 3,10,343,210,369,236,383,200,429,246,-93,33,-165.04393156624025,30.142726371831646,2.011862758005999,-1.0,-1.0,-1.0,-1.0
Allen_5_10.mp4 4,10,342,208,368,234,384,198,430,244,-93,33,-165.04393156624025,30.142726371831646,2.011862758005999,-1.0,-1.0,-0.5,-0.5
Allen_5_10.mp4 5,10,393,203,431,241,345,210,370,235,-93,33,-165.04393156624025,30.142726371831646,2.011862758005999,-0.5,-0.5,-1.0,-1.0
Allen_5_10.mp4 6,10,343,209,370,236,384,199,432,247,-93,33,-165.04393156624025,30.142726371831646,2.011862758005999,-1.0,-1.0,-1.0,-1.0
Allen_5_10.mp4 7,10,342,209,368,235,400,211,424,235,-93,33,-165.04393156624025,30.142726371831646,2.011862758005999,-1.0,-1.0,-1.0,-1.0
Allen_5_10.mp4 8,10,342,211,367,236,382,198,430,246,-93,33,-165.04393156624025,30.142726371831646,2.011862758005999,-1.0,-1.0,-1.0,-1.0
Allen_5_10.mp4 9,10,388,204,426,242,341,210,368,237,-93,33,-165.04393156624025,30.142726371831646,2.011862758005999,-1.0,-1.0,-1.0,-1.0
Allen_5_11.mp4 0,11,345,208,367,230,397,212,418,233,-69,6,-177.67311805174722,41.62503188907435,0.11550464544595229,0,0,0,0
Allen_5_11.mp4 1,11,347,207,369,229,397,210,420,233,-69,6,-177.67311805174722,41.62503188907435,0.11550464544595229,0,0,0,0
Allen_5_11.mp4 2,11,346,207,368,229,394,208,418,232,-69,6,-177.67311805174722,41.62503188907435,0.11550464544595229,0,0,0,0
Allen_5_11.mp4 3,11,397,206,421,230,348,204,370,226,-69,6,-177.67311805174722,41.62503188907435,0.11550464544595229,0,0,0,0
Allen_5_11.mp4 4,11,396,204,421,229,347,203,369,225,-69,6,-177.67311805174722,41.62503188907435,0.11550464544595229,0,0,0,0
Allen_5_11.mp4 5,11,389,202,421,234,346,204,368,226,-69,6,-177.67311805174722,41.62503188907435,0.11550464544595229,-0.5,-1.5,-1.5,-0.5
Allen_5_11.mp4 6,11,393,206,417,230,345,204,367,226,-69,6,-177.67311805174722,41.62503188907435,0.11550464544595229,-0.5,-0.5,-0.5,-0.5
Allen_5_11.mp4 7,11,393,206,418,231,345,205,367,227,-69,6,-177.67311805174722,41.62503188907435,0.11550464544595229,0,0,0,0
Allen_5_11.mp4 8,11,392,208,415,231,342,204,364,226,-69,6,-177.67311805174722,41.62503188907435,0.11550464544595229,0,0,0,0
Allen_5_11.mp4 9,11,393,208,417,232,345,206,366,227,-69,6,-177.67311805174722,41.62503188907435,0.11550464544595229,0,0,0,0
Allen_5_11.mp4 10,11,0,0,0,0,0,0,0,0,-69,6,-177.67311805174722,41.62503188907435,0.11550464544595229,0,0,0,0
Allen_5_12.mp4 1,12,301,188,374,261,387,218,409,240,-63,9,-172.67273449114987,39.65282668356564,5.127205302372715,0,0,0,0
Allen_5_12.mp4 2,12,365,200,418,253,387,219,408,240,-63,9,-172.67273449114987,39.65282668356564,5.127205302372715,0,0,0,0
Allen_5_12.mp4 4,12,386,218,407,239,375,210,415,250,-63,9,-172.67273449114987,39.65282668356564,5.127205302372715,0,0,0,0
Allen_5_12.mp4 5,12,387,217,409,239,363,198,414,249,-63,9,-172.67273449114987,39.65282668356564,5.127205302372715,0,0,0,0
Allen_5_12.mp4 6,12,385,217,408,240,369,207,414,252,-63,9,-172.67273449114987,39.65282668356564,5.127205302372715,0,0,0,0
Allen_5_12.mp4 7,12,406,166,433,193,386,218,407,239,-63,9,-172.67273449114987,39.65282668356564,5.127205302372715,0,0,0,0
Allen_5_12.mp4 8,12,384,216,406,238,362,197,413,248,-63,9,-172.67273449114987,39.65282668356564,5.127205302372715,0,0,0,0
Allen_5_12.mp4 9,12,385,217,408,240,242,296,286,340,-63,9,-172.67273449114987,39.65282668356564,5.127205302372715,0,0,0,0
Allen_5_12.mp4 10,12,306,192,370,256,336,210,358,232,-63,9,-172.67273449114987,39.65282668356564,5.127205302372715,0,0,0,0
Allen_5_13.mp4 4,13,603,456,635,488,374,227,400,253,45,48,-158.44546434167168,-13.723655002226462,-6.561761655275457,-1.5,-0.5,-1.0,-1.0
Allen_5_13.mp4 5,13,603,457,633,487,421,216,460,255,45,48,-158.44546434167168,-13.723655002226462,-6.561761655275457,-1.5,-0.5,-1.5,-0.5
Allen_5_13.mp4 7,13,413,215,457,259,364,221,403,260,45,48,-158.44546434167168,-13.723655002226462,-6.561761655275457,-1.0,-1.0,-1.5,-0.5
Allen_5_13.mp4 9,13,602,456,634,488,368,222,414,268,45,48,-158.44546434167168,-13.723655002226462,-6.561761655275457,-1.5,-1.5,-1.5,-0.5
Allen_5_13.mp4 10,13,601,456,635,490,418,223,457,262,45,48,-158.44546434167168,-13.723655002226462,-6.561761655275457,-0.5,-1.5,-1.5,-0.5
Allen_5_14.mp4 0,14,606,456,632,482,359,226,397,264,21,39,-163.32313087767986,-6.386464246723387,-3.079135553601512,-1.5,-0.5,-0.5,-0.5
Allen_5_14.mp4 1,14,606,456,634,484,69,218,95,244,21,39,-163.32313087767986,-6.386464246723387,-3.079135553601512,-1.0,-1.0,-0.5,-0.5
Allen_5_14.mp4 2,14,605,456,633,484,418,227,453,262,21,39,-163.32313087767986,-6.386464246723387,-3.079135553601512,-1.0,-1.0,-1.0,-1.0
Allen_5_14.mp4 3,14,604,455,634,485,420,226,455,261,21,39,-163.32313087767986,-6.386464246723387,-3.079135553601512,-1.0,-1.0,-1.0,-1.0
Allen_5_14.mp4 5,14,421,224,453,256,360,230,391,261,21,39,-163.32313087767986,-6.386464246723387,-3.079135553601512,-1.0,-1.0,-1.0,-1.0
Allen_5_14.mp4 6,14,606,456,633,483,357,226,391,260,21,39,-163.32313087767986,-6.386464246723387,-3.079135553601512,-1.0,-1.0,-0.5,-0.5
Allen_5_14.mp4 7,14,358,230,388,260,409,220,451,262,21,39,-163.32313087767986,-6.386464246723387,-3.079135553601512,-1.0,-1.0,-1.0,-1.0
Allen_5_14.mp4 8,14,358,230,388,260,405,217,452,264,21,39,-163.32313087767986,-6.386464246723387,-3.079135553601512,-1.0,-1.0,-1.0,-1.0
Allen_5_14.mp4 9,14,417,224,449,256,358,232,386,260,21,39,-163.32313087767986,-6.386464246723387,-3.079135553601512,-0.5,-0.5,-1.0,-1.0
Allen_5_14.mp4 10,14,606,458,629,481,412,224,450,262,21,39,-163.32313087767986,-6.386464246723387,-3.079135553601512,-0.5,-0.5,-1.0,-1.0
Allen_5_15.mp4 1,15,604,456,634,486,343,227,373,257,-63,40,-162.77864038013098,19.21790869997374,3.4361759208917544,-1.0,-1.0,-1.0,-1.0
Allen_5_15.mp4 3,15,343,226,373,256,385,215,436,266,-63,40,-162.77864038013098,19.21790869997374,3.4361759208917544,-1.0,-1.0,-0.5,-1.5
Allen_5_15.mp4 4,15,603,455,633,485,342,223,378,259,-63,40,-162.77864038013098,19.21790869997374,3.4361759208917544,-0.5,-0.5,-0.5,-0.5
Allen_5_15.mp4 5,15,342,225,372,255,389,219,434,264,-63,40,-162.77864038013098,19.21790869997374,3.4361759208917544,-0.5,-0.5,-0.5,-0.5
Allen_5_15.mp4 6,15,604,455,632,483,342,227,366,251,-63,40,-162.77864038013098,19.21790869997374,3.4361759208917544,-1.0,-1.0,-0.5,-1.5
Allen_5_15.mp4 7,15,341,226,370,255,384,221,429,266,-63,40,-162.77864038013098,19.21790869997374,3.4361759208917544,-1.0,-1.0,-0.5,-0.5
Allen_5_15.mp4 8,15,342,229,368,255,385,220,431,266,-63,40,-162.77864038013098,19.21790869997374,3.4361759208917544,-0.5,-0.5,-0.5,-0.5
Allen_5_15.mp4 9,15,604,455,634,485,340,225,374,259,-63,40,-162.77864038013098,19.21790869997374,3.4361759208917544,-1.0,-1.0,-1.0,-1.0
Allen_5_15.mp4 10,15,0,0,0,0,0,0,0,0,-63,40,-162.77864038013098,19.21790869997374,3.4361759208917544,0,0,0,0
Allen_5_16.mp4 1,16,334,242,359,267,370,237,416,283,-37,30,-160.58113482229143,22.674520409405453,3.8330096385981847,0,0,0,0
Allen_5_16.mp4 2,16,245,300,283,338,334,240,359,265,-37,30,-160.58113482229143,22.674520409405453,3.8330096385981847,0,0,0,0
Allen_5_16.mp4 3,16,335,233,362,260,371,229,420,278,-37,30,-160.58113482229143,22.674520409405453,3.8330096385981847,-1.0,-1.0,-1.0,-1.0
Allen_5_16.mp4 4,16,332,232,361,261,372,230,417,275,-37,30,-160.58113482229143,22.674520409405453,3.8330096385981847,-0.5,-1.5,-1.0,-1.0
Allen_5_16.mp4 5,16,333,232,358,257,366,225,414,273,-37,30,-160.58113482229143,22.674520409405453,3.8330096385981847,-1.0,-1.0,-1.0,-1.0
Allen_5_16.mp4 6,16,367,228,413,274,298,220,345,267,-37,30,-160.58113482229143,22.674520409405453,3.8330096385981847,-1.0,-1.0,-0.5,-0.5
Allen_5_16.mp4 7,16,330,235,355,260,364,228,413,277,-37,30,-160.58113482229143,22.674520409405453,3.8330096385981847,-0.5,-0.5,-1.5,-0.5
Allen_5_16.mp4 8,16,331,235,355,259,362,221,414,273,-37,30,-160.58113482229143,22.674520409405453,3.8330096385981847,-0.5,-0.5,-1.0,-1.0
Allen_5_16.mp4 9,16,332,236,357,261,362,226,411,275,-37,30,-160.58113482229143,22.674520409405453,3.8330096385981847,-0.5,-0.5,-0.5,-1.5
Allen_5_16.mp4 10,16,0,0,0,0,0,0,0,0,-37,30,-160.58113482229143,22.674520409405453,3.8330096385981847,0,0,0,0
Allen_5_17.mp4 0,17,358,222,402,266,292,204,391,303,-65,15,-170.91289656651213,42.704640920537365,1.0089955575972738,0,0,0,0
Allen_5_17.mp4 1,17,354,220,402,268,242,298,286,342,-65,15,-170.91289656651213,42.704640920537365,1.0089955575972738,0,0,0,0
Allen_5_17.mp4 4,17,348,210,401,263,292,212,340,260,-65,15,-170.91289656651213,42.704640920537365,1.0089955575972738,0,0,0,0
Allen_5_17.mp4 6,17,244,298,287,341,348,213,395,260,-65,15,-170.91289656651213,42.704640920537365,1.0089955575972738,0,0,0,0
Allen_5_17.mp4 7,17,350,214,397,261,288,209,347,268,-65,15,-170.91289656651213,42.704640920537365,1.0089955575972738,0,0,0,0
Allen_5_17.mp4 8,17,346,213,394,261,289,209,345,265,-65,15,-170.91289656651213,42.704640920537365,1.0089955575972738,0,0,0,0
Allen_5_17.mp4 9,17,345,215,394,264,288,208,348,268,-65,15,-170.91289656651213,42.704640920537365,1.0089955575972738,0,0,0,0
Allen_5_17.mp4 10,17,342,211,397,266,288,206,360,278,-65,15,-170.91289656651213,42.704640920537365,1.0089955575972738,0,0,0,0
Allen_5_18.mp4 1,18,274,177,393,296,290,205,350,265,-101,30,-162.42988377384293,36.8780540111642,6.972185893131482,0,0,0,0
Allen_5_18.mp4 2,18,346,214,394,262,289,207,348,266,-101,30,-162.42988377384293,36.8780540111642,6.972185893131482,0,0,0,0
Allen_5_18.mp4 4,18,289,206,345,262,345,211,396,262,-101,30,-162.42988377384293,36.8780540111642,6.972185893131482,0,0,0,0
Allen_5_18.mp4 5,18,289,204,347,262,360,222,382,244,-101,30,-162.42988377384293,36.8780540111642,6.972185893131482,0,0,0,0
Allen_5_18.mp4 6,18,288,202,347,261,343,211,391,259,-101,30,-162.42988377384293,36.8780540111642,6.972185893131482,0,0,0,0
Allen_5_18.mp4 7,18,249,301,285,337,341,210,388,257,-101,30,-162.42988377384293,36.8780540111642,6.972185893131482,0,0,0,0
Allen_5_18.mp4 8,18,286,204,343,261,344,215,388,259,-101,30,-162.42988377384293,36.8780540111642,6.972185893131482,0,0,0,0
Allen_5_18.mp4 10,18,0,0,0,0,0,0,0,0,-101,30,-162.42988377384293,36.8780540111642,6.972185893131482,0,0,0,0
Anson_5_1.mp4 0,1,399,215,450,266,431,145,475,189,47,33,-161.12670472130347,-11.838826587758977,-6.30438015765788,-1.5,-1.5,-1.0,-1.0
Anson_5_1.mp4 1,1,398,215,448,265,429,145,471,187,47,33,-161.12670472130347,-11.838826587758977,-6.30438015765788,-1.0,-1.0,-1.0,-1.0
Anson_5_1.mp4 2,1,400,213,452,265,366,147,411,192,47,33,-161.12670472130347,-11.838826587758977,-6.30438015765788,-1.0,-1.0,-1.0,-1.0
Anson_5_1.mp4 3,1,433,143,476,186,367,144,414,191,47,33,-161.12670472130347,-11.838826587758977,-6.30438015765788,-1.5,-0.5,-1.0,-1.0
Anson_5_1.mp4 4,1,430,141,474,185,365,143,412,190,47,33,-161.12670472130347,-11.838826587758977,-6.30438015765788,-1.0,-1.0,-1.5,-0.5
Anson_5_1.mp4 5,1,397,212,447,262,429,140,473,184,47,33,-161.12670472130347,-11.838826587758977,-6.30438015765788,-1.0,-1.0,-1.0,-1.0
Anson_5_1.mp4 6,1,425,140,470,185,360,142,406,188,47,33,-161.12670472130347,-11.838826587758977,-6.30438015765788,-1.5,-0.5,-1.0,-1.0
Anson_5_1.mp4 7,1,418,137,464,183,354,141,399,186,47,33,-161.12670472130347,-11.838826587758977,-6.30438015765788,-1.5,-0.5,-1.0,-1.0
Anson_5_1.mp4 8,1,420,140,464,184,353,141,402,190,47,33,-161.12670472130347,-11.838826587758977,-6.30438015765788,-1.0,-1.0,-1.5,-0.5
Anson_5_1.mp4 9,1,420,140,465,185,353,141,401,189,47,33,-161.12670472130347,-11.838826587758977,-6.30438015765788,-1.5,-1.5,-1.0,-1.0
Anson_5_1.mp4 10,1,0,0,0,0,0,0,0,0,47,33,-161.12670472130347,-11.838826587758977,-6.30438015765788,0,0,0,0
Anson_5_2.mp4 0,2,397,139,444,186,333,142,380,189,-39,39,-160.34246621405708,11.285615003428811,-0.08435009248817578,-1.5,-0.5,-0.5,-0.5
